,title,genre,url
132,폭군황제의 첫사랑,로맨스 판타지,https://webtoon.kakao.com/content/%ED%8F%AD%EA%B5%B0%ED%99%A9%EC%A0%9C%EC%9D%98-%EC%B2%AB%EC%82%AC%EB%9E%91/2359
133,슈퍼매치 1탄 : LoL BJ 멸망전,코믹/일상,https://webtoon.kakao.com/content/%EC%8A%88%ED%8D%BC%EB%A7%A4%EC%B9%98-1%ED%83%84-LoL-BJ-%EB%A9%B8%EB%A7%9D%EC%A0%84/2146
134,크레센도,드라마,https://webtoon.kakao.com/content/%ED%81%AC%EB%A0%88%EC%84%BC%EB%8F%84/2097
135,닭은 의외로 위대하다,판타지 드라마,https://webtoon.kakao.com/content/%EB%8B%AD%EC%9D%80-%EC%9D%98%EC%99%B8%EB%A1%9C-%EC%9C%84%EB%8C%80%ED%95%98%EB%8B%A4/1816
136,니니툰즈,코믹/일상,https://webtoon.kakao.com/content/%EB%8B%88%EB%8B%88%ED%88%B0%EC%A6%88/2484
137,유리의 벽,로맨스 판타지,https://webtoon.kakao.com/content/%EC%9C%A0%EB%A6%AC%EC%9D%98-%EB%B2%BD/1558
138,너에게 투 혼(魂)!,판타지 드라마,https://webtoon.kakao.com/content/%EB%84%88%EC%97%90%EA%B2%8C-%ED%88%AC-%ED%98%BC%E9%AD%82/1757
139,김탐정 사용설명서,학원/판타지,https://webtoon.kakao.com/content/%EA%B9%80%ED%83%90%EC%A0%95-%EC%82%AC%EC%9A%A9%EC%84%A4%EB%AA%85%EC%84%9C/1298
140,미완결,드라마,https://webtoon.kakao.com/content/%EB%AF%B8%EC%99%84%EA%B2%B0/1882
141,복무신조 : 우리의 결의,공포/스릴러,https://webtoon.kakao.com/content/%EB%B3%B5%EB%AC%B4%EC%8B%A0%EC%A1%B0-%EC%9A%B0%EB%A6%AC%EC%9D%98-%EA%B2%B0%EC%9D%98/2554
142,이렇게 바보일리 없어,로맨스,https://webtoon.kakao.com/content/%EC%9D%B4%EB%A0%87%EA%B2%8C-%EB%B0%94%EB%B3%B4%EC%9D%BC%EB%A6%AC-%EC%97%86%EC%96%B4/2534
143,랑데부,학원/판타지,https://webtoon.kakao.com/content/%EB%9E%91%EB%8D%B0%EB%B6%80/1836
