,title,writer,illustrator,genre,story,platform,thumb,url
732,유리의 벽,조호,조호,"로맨스, 판타지","사랑스럽고 주변 사람을 챙기는 착한 아이, 릴리아나 펜스.
그것이 릴리가 지향하는 자신의 이미지였다.
자신의 호의 하나가 어떤 결과를 불러일으키는지는
상류층에 있는 그녀가 신경 쓸 것도, 쓸 이유도 없는 것 이었다.

그런 그녀에게도 꽃피는 사랑이 왔으니, 새로 들어온 평민 음악교사 에드워드 카터였다.

릴리의 마음은 에드의 주변을 겉돈다.
겉으로는 받아주는 듯 묘하게 차가운 그에게서 기이한 감정을 느낀다.
애정과 경멸 그 사이 어딘가 아슬아슬한 외줄 타기를 하는 나날,
릴리는 예상외로 이른 귀가를 한 아버지에게서
가문을 위한 결혼을 강요받는다.

에드가 붙잡아주길 바라는 한가닥 희망을 갖고
그에게 자신의 약혼 사실을 알리는데….",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bYO59O/hyCvk6PwyY/vcfCUKcYMRaSwY9iD1K0x0&filename=th2,https://page.kakao.com/home?seriesId=53770819
733,킬러 5,대천체리,대천체리,"액션, 무협","자신이 원해서가 아닌, 킬러 커플 부모님의 강압으로 킬러의 삶을 사는 소녀 지아. 
어릴 때부터 지독한 훈련을 통해 살인기술을 습득한 결과 압도적인 능력을 가지고 있지만, 
킬러 부모님의 백을 통해 킬러 조직에 들어오게 되어‘낙하산’이란 낙인이 찍히고 
동기들로부터 시기와 질투의 대상이 된다. 
그러나 정작 지아는 킬러라는 일에서 벗어나 평범한 10대 소녀로서의 삶을 꿈꾸는데….",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=4rgnA/hy41NUz41U/dLvTuO4WTdgi1V5FrfIHF0&filename=th2,https://page.kakao.com/home?seriesId=56108116
734,현호전기,MINDZAP,MINDZAP,"액션, 무협","<국내 최초 현호전기 웹툰 올컬러판>
레전드 출판만화의 귀환! 가장 무협적인 소년 만화 - 현. 호. 전. 기.

화려한 화풍과 변화무쌍한 줄거리 그리고 인물의 열혈 전투!
7일 안에 죽는다! 현호를 찾지 못하면.

상고비술 청오술에 다루는 청오사. 
이들은 하늘을 가르고 땅을 메우는 능력을 지녀 모두의 두려움과 존경을 받아왔다. 
이들은 이 비술을 사용해, 인간에게 해를 끼치는 괴물들과 싸워오며 
인간 세상의 안정에 기여를 했다. 

100여년 전 이들 중 심일이라는 심씨가문의 수장이 사상 최악의 괴수 기린을
신기(神器) 현호에 봉인하고 세상에 평화를 가져왔다. 

100년 후 이 신기를 탐내는 악당들의 속임수에 
부랑청년 엽소가 현호의 봉인을 풀어버리는 바람에
최악의 괴물 기린과 최강의 신기 현호는 세상에 다시 나오게 된다. 

그러나 기린은 엽소의 몸을 숙주삼아 들어가 버리게 되고,
기린이 엽소의 몸을 찢고 나오기까지는 단 7일...

7일 안에 사상 최고의 보물 '현호'를 찾아서 이 기린을
제거해야 하는데.

어리버리 주인공 엽소와 함께 하는 초대형 정통무협 판타지가 시작된다.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bGYO4f/hyQ9Nt1A3V/kOe08uNTy8Ahl9e2KRakeK&filename=th2,https://page.kakao.com/home?seriesId=51796041
735,악녀하렘,Hungry Studio,Hungry Studio,"로맨스, 판타지","동녀 제국에서 가장 인망 높았던 대장군, 봉여령은
여황제의 음모에 의해 처형을 당하게 된다.

그로부터 3년 뒤, 그녀는 청양공주의 첫째 딸이였던
여미주의 몸으로 환생하게 되고 그녀는 여미주의 이름으로
자신을 배신했던 여황제에게 복수를 하기 위해
스스로 악녀가 되기로 결심한다.

하지만, 그녀의 복수극에 자꾸만 남자가 꼬이게 되는데...",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=yxyhU/hyQ9SoMFCn/ab9g8xknkXJiXrjvWjTBc1&filename=th2,https://page.kakao.com/home?seriesId=56573137
736,조상님이 로그인하셨습니다,이소,"계몽, 우이, Ghost",소년만화,"매일 게임에 찌들어 사는 주인공 장준우는 게임에 100번 실패한 보상으로 게임의 제한모드를 해제하게 되면서 게임 속에 들어가게 된다. 하지만 눈을 떠보니 천 년 전 마룡을 봉인하고 세상을 도탄에서 구한 '이십삼자문' 창파조사(창시자) 태허지존의 관속. 휘황찬란했던 과거와 달리, 현재의 '이십삼자문'은 몰락할 대로 몰락하여 무능하고 줏대가 없는 장문인, 잘 생겼지만 실력은 동급 최하위인 장로, 힘만 무식하게 센 신입제자 달랑 세 명밖에 없다. 
게임 시스템에 의하면 문파를 발전시켜 마룡을 죽여야만 현실 세계로 돌아갈 수 있다고 한다. 
자칭 게임 전문가인 장준우는 이 사람들을 데리고 자신만의 방식으로 문파를 발전시키겠다고 호언장담하는데…",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bmn6pZ/hyORYxKRa9/MYhcNHCwIrjJlV0AD8R39K&filename=th2,https://page.kakao.com/home?seriesId=56035669
737,이발사,상서귀왕,"소모, 송본미",드라마만화,"아직도 우리 곁에는 수많은 전설과 민담, 설화, 전승에서 알려주는 어떤 것들과 그들을 이용하고 이용당하는 인간들이 존재한다. 그 흥미진진한 존재들을 제자리로 돌려놓는 자, 류범은 이발사다. 잘 벼려져 무엇이든 끊어내는 면도칼을 다루는 이발사. 류범은 죽은 자의 머리와 수염을 정리해주며 그들의 명복을 빌어주는 업을 지고있는 사람. 우연한 기회로 죽어가는 아이를 살려 세상에 돌려 놓았더니 또다른 인연의 시작이였을까? 그의 제자가 되겠다며 그 평범하지 않은 삶을 택한 어린 소년 찬주의 호기심 충만한 열정이 또다른 괴의현상과 사고를 불러오는데?!

요괴잡는 이발사 류범과 그의 제자 찬주의 퇴마록!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bkuWXW/hyATwB7MFG/OEAkPmfnw9WdjpefBERB91&filename=th2,https://page.kakao.com/home?seriesId=53037530
738,최면술사에겐 비밀보호 의무가 없다,팀 해빙,팀 해빙,드라마만화,"'가희'는 누구보다 강력한 최면을 걸 수 있는 최면술사다.
최면이 강력한 만큼 가희를 찾아오는 손님들은 하나같이 평범치 않다.
형사 '진오'는 그런 가희와 손님들을 수상하게 여겨 찾아오고,
가희는 그에게 이야기를 하나씩 풀어놓는다. 물론 그냥 이야기만 나누는 건 아니다.
가희는 자신이 맡았던 일들의 결과를 알고 싶어 한다.

진오는 어느 연쇄살인이 최면과 관련 있는 게 아닐지 의심하고 있다.
서로 이야기를 주고받다 보면 알게 될 것이다. 그래도 괜찮다.

최면술사는 비밀보호 의무가 없으니.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=btk9fF/hyQ9Oftf3Z/nkuSJUUhJvHrqFTdkuGy71&filename=th2,https://page.kakao.com/home?seriesId=56334272
739,T.K.R (The killer returns),Jiroubaren,Jiroubaren,소년만화,"매주 금요일 업데이트됩니다!

어두운 바에서 항상 혼술을 즐기던 천재한, 그는 킬러였다.
사람 목을 베는 일에 한없이 익숙한 그가 만약 흙먼지 흩날리는 이상한 나라의 전장에서 눈을 뜨게 된다면?
칼과 창을 벗 삼아 광야를 내달리던 천재한은, 먼 훗날, 위대한 전설로 사람들에게 기억되었다고 한다.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=tEtHl/hyATx1RDyp/E9m489okX87co33kqKETTK&filename=th2,https://page.kakao.com/home?seriesId=50941299
740,판피아 전기,지페리,지페리,소년만화,"때는, ‘세계 종말 전쟁’이 끝난 지 15년 후,
세상은 평화와 번영을 맞이하고 있었다.

하지만, 화려한 겉모습 이면엔 추악한 모습이 도사리고 있었다.
인종차별주의자와, 광신도, 사회 부적응자와 독재자, 황금만능주의가 판치는 이 세상.

펠릭스와 베이는 이 세상을 여행하며
존재하지 않을 유토피아를 찾아 나서는데…",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=ecrJ6t/hyLjclOIQd/iygNtZhIn9AuCmseh0588k&filename=th2,https://page.kakao.com/home?seriesId=50525897
741,이과로 하드캐리,하도,서프라이즈 스튜디오,소년만화,"기계공학 엔지니어인 윤 진은, 어느 날 눈을 떠 보니 
듣도보도 못한 세상에 와 있었다. 사람들 복식이며 하는 행동이며 생소하기 짝이 없는데다가,
이세계의 주민들은 신체능력이 월등히 뛰어나 머리를 쓸 줄 모른다?!

아니, 왜들 이러시나?

자, 봐! 내가 끝내주는 머리로 좀 더 편하게 살 수 있도록 만들어줄 테니까!

그는 온갖 기발한 방법으로 위험에 처한 부족 사람들을 구하고
최강의 전사 타이틀을 달아버리게 된다. 

누구보다도 이세계에서 잘 살고 있지만,
기계를 너무나도 사랑하는 진.
그는 과연 원래 세계로 돌아갈 수 있을까?",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=fwx9w/hyVkJgARQ9/mUH9OonItPAI1cgRJKyoUK&filename=th2,https://page.kakao.com/home?seriesId=56753229
