,title,writer,illustrator,genre,story,age
53,마지막 지수,에리카,채나라,"스토리, 로맨스","소설가를 꿈꾸는 주인공 양지수.어느날부터 '지수'라는 이름만 골라사귀기로 소문난 바람둥이 '혜성'이 접근해오기 시작한다.이미 남자친구 '도혁'이 있는 지수는 혜성의 접근이 불쾌할 뿐이지만, 한 가지 수상한 점이 자꾸만 호기심을 자극한다.'얘가 어떻게 내 연애사를 낱낱이 알고 있는거지...?'",전체연령가
54,드로잉 레시피,꼬모소이,꼬모소이,"스토리, 감성",어머니가 돌아가신후 어머니가 주인이었던 석촌 미선빌라 201호로 이사 온 은수의  용서와 성장의 힐링여행,전체연령가
55,살아간다,이행복,이행복,"스토리, 액션",하루하루 버겁게 살아가고 있는 주인공 '권도이'.첫사랑 '정선영'을 위해 불법도박격투기장 '하데스'에 점점 빠져 들게 되고 오래 전 자신의 꿈이었던 종합격투기 선수를 떠올린다.<라스트 서브미션> 이행복 작가의 차기작.,12세 이용가
56,바로 보지 않는,지민,지민,"스토리, 드라마",몇 번의 연애 끝에 민주는 일찌감치 사랑보다 우정을 택하기로 결심한다.난 희진이 너만 있으면 아무것도 필요 없어. 너도 그렇지?,12세 이용가
57,모락모락 왕세자님,원해,원해,"스토리, 로맨스",온천마을에 찾아온 꽃미남 왕세자일행과신비한 힘을 가진 소녀의 판타지 로맨스,전체연령가
58,이탄국의 자청비,김보람,나넷,"스토리, 로맨스","시공 초월 판타지 로맨스! 태권 소녀 자청비, 물푸레 향이 가득한 이세계 황궁에 떨어지다! 아는 사람 하나 없는 낯선 나라. 왕싸가지 꽃미남 황태자, 생명의 은인인 비운의 왕자, 놀기 좋아하는 말괄량이 공주 사이에서, 자청비는 집으로 돌아갈 수 있을까?",전체연령가
59,사막에 핀 달,선지,선지,"스토리, 시대극","사막의 전사 나디아. 신녀를 찾아 사막에 온 신관 이세리온은 나디아에게 신녀가 되어달라고 말한다. 나디아는 부족을 지키기 위해 신녀가 되기로 결심하지만, 야만인이라고 무시받는 상황에서 나디아는 과연 진짜 신녀가 될 수 있을까? 신녀로 선택받은 나디아와 신관 이세리온의 이야기.",전체연령가
60,그림자 신부,이새인,덥머,"스토리, 로맨스","빚 갚을 돈을 벌려다가 끔찍한 위기에 빠진 설윤 앞에 신검 ‘월흔’을 든 핏빛 무사가 나타난다. 절체절명의 위기에서 구해준 건 고맙지만 난데없이 밤시중을 들라는데...다음 날, 7년 전쟁의 승리를 축하하는 행진 중 왕세자가 든 신검이 낯설지 않다!“어젯밤 그가 왕세자였어?!!”",15세 이용가
61,트리거,고경빈,고경빈,"스토리, 판타지","지구에 소행성이 떨어진 후, 지구는 인간을 먹이로 하는 괴생명체 '아니스'에 의해 절멸 위기에 처한다.청소년 모두가 입대해서 아니스에 맞서야 하는 시대. 1년 전 먼저 입대한 소꿉친구 니카와 어렵게 재회한 에반은니카가 자신을 전혀 기억하지 못하는데다, 더이상 평범한 인간이 아니라는것을 알게 된다.충격에 빠진 에반에게 정부에서 준 임무는 니카를 죽이라는 것이다. 그것도 매일, 인류를 위해..",15세 이용가
62,중독연구소,김택기,김택기,"옴니버스, 드라마","중독 가정에서 자라온 소년, ‘김태림’은 중독 전문병원에 입사를 하게 되면서 자신의 문제를 바라보게 된다.우리 모두의 중독 이야기, 당신은 무엇에 중독이 되어있나요?",전체연령가
63,개밥 먹는 남자,김태순,김태순,"스토리, 판타지","출근길에 우연히 받은 ‘아임펫 향수’를 뿌렸다가 댕댕이 뚜치와 몸이 바뀌어버린 어도남.그런데, 뚜치가 회사에 출근하더니 투자 계약을 따내고, 임원 승진에, 짝사랑하는 여직원과 썸을 타기 시작한다?!뜻밖의 상황에 엮인 어도남은 오늘도 집에 틀어박혀 개밥을 먹는다.주인과 반려동물의 몸을 뒤바꾸는 ‘아임펫 향수’ 때문에 벌어지는 아이러니 코미디! 대박 맞겠지?2020 지상최대공모전 1기 장려상 수상작!",12세 이용가
64,보살님이 캐리해!,성코,콩자,"스토리, 액션",억겁의 시간을 넘어 환생한 보살들이여 야차들의 습격에서 평화로운 일상과 법화를 수호하라!,전체연령가
65,오로지 오로라,홍달,홍달,"스토리, 판타지","마법 소녀가 불법인 세상, 이 세계의 마법 소녀는 사랑받는 존재가 아니다. 한창 잘 나가던 아이돌 '오로라'의 인생에 불순물처럼 끼어든 마법 소녀의 삶. 그리고 그 앞에 나타난 기이한 마법사 소년 심청, 과연 오로라는 마법 소녀를 무사히 마치고 자신의 황금빛 인생을 이어나갈 수 있을까?2019년 네이버웹툰 최강자전 3위 수상작!",전체연령가
66,기사님을 지켜줘,달봉,달봉,"스토리, 판타지","첫눈에 반한 남학생을 떠올리며 언니의 피규어 '브릭'에게 뽀뽀 연습을 하는 '예은'.그날 밤, 이상한 꿈에 눈을 떠보니 피규어가 살아 움직이며 자신의 저주를 풀 수 있도록 도와 달라고 한다.예은은 모종의 이유로 브릭의 부탁을 받아들이고, 저주를 건 마녀에 대한 단서를 찾기 시작한다.",전체연령가
