,title,writer,illustrator,genre,story,age
125,연애는 전쟁!,윤솜,와리,"스토리, 로맨스","""우리, 내기 하나 할까? 서태현한테 먼저 고백받는 쪽이 이기는 걸로.""용모 단정, 성적 우수, 교내에서도 유명한 남녀 쌍둥이 '시연'과 시언'완벽한 두 사람이 평범한 남고생 '태현'의 마음을 두고 내기를 시작하게 된 이유는?그리고 이들을 거부하는 '태현'의 숨겨진 비밀은…?!조금은 특별한 서스펜스 로맨스!",12세 이용가
126,풋내기들,신여름,신여름,"스토리, 로맨스","스무 살의 봄, 새봄은 두근거리는 마음으로 대학교 인근의 셰어하우스에 입성한다. 그곳에서 외모와 성격이 전혀 다른 룸메이트 희주 그리고 최애 라욱과 똑같이 생긴 이상형까지 만난다. 풋풋하지만 많은 것이 서툴렀던 스무 살, 우리들의 이야기!   첫사랑의 설렘을 가득 담은 셰어하우스로 놀러 오실래요?",전체연령가
127,고등매직,잭형,잭형,"에피소드, 개그","평범한 고등학생인 '마삼룡'의 집에 갑자기 삼촌이 찾아온다.삼룡의 가족과 함께 지내게 된 삼촌은 어느날 엄청난 비밀을 폭로하게 되는데,그것은 바로 삼룡의 가족이 마법사 집안이었다는 것!마법과 함께 펼쳐지는 삼룡과 삼촌의 코믹 에피소드!​",전체연령가
128,지원이들,구리,구리,"스토리, 일상","평범한 고등학생 정지원은 자신과는 조금씩 다른 '지원이들'을 만난다.천사 같은 유지원과 웃긴 김지원, 완벽한 친구들을 사귀었다고 생각했는데...왜 자꾸 비교하게 되고 질투가 나는 걸까?그 시절 누구나 품었을 미운 마음을 담은 일상개그드라마!",전체연령가
129,프린스 메이커,수오수,수오수,"스토리, 드라마",공주님을 구하러 온 왕자님이 마녀의 저주로 5살 아이가 돼버렸다! 예정 없던 공주님의 육아가 시작되는데......10년 동안 마녀의 탑에 갇혀 자신을 구해줄 왕자님만 기다리던 공주님에게 어느 날 진짜 왕자님이 찾아왔다!행복한 미래를 그리며 함께 성 밖을 나서는 순간 마녀의 저주로 왕자님은 5살 아이가 되어버리고...!왕자님을 최고의 남편감으로 키우기 위한 공주님의 왕자 육성 프로젝트가 시작된다!,전체연령가
130,NG불가,고선영,고선영,"스토리, 로맨스","드라마 덕후 '류재린', 드라마 각본 속의 세상으로 들어오게 되다! 그것도 최애캐를 연기한 배우, '이안'과 함께.여기서 살아남으려면 여주 역할을 해내며 최애캐와 사랑을 연기해야만 한다는데..?!인기 배우와 찐팬 덕후의 생존 로맨스",12세 이용가
131,피로만땅,샤니,샤니,"에피소드, 개그","<203호 저승사자> 샤니 작가 신작. 취준생 유림은 밤 9시에 면접을 보러오라는 연락을 받고 찾아갔다가 우여곡절 끝에 합격한다.그녀가 맡은 일은 보디가드. 하지만 그녀가 지켜야 하는 건 언제 자신을 흡혈할지 모르는 위험한 뱀파이어?!뱀파이어 헌터들에게서 뱀파이어를 보호하면서 벌어지는, 누가 누구를 지키는지 모를 아찔한 개그 웹툰.과연 유림은 뱀파이어를 지켜낼 수 있을까!",전체연령가
132,인문학적 감수성,교날,번암,"스토리, 드라마","타투이스트 감수성에게는 남들과 다른 비밀이 하나 있다.바로 살아움직이는 그림을 그린다는 것!이런 이상한 능력 덕분에 깡패처럼 보이는(?) 손님에게새겨주었던 용 문신이 탈주를 하게 되고, 극대노한 상태로 찾아온 그녀와 모종의 사건으로 엮이면서거절하지 못할 제안을 받는데...",전체연령가
133,하나in세인,석한,석한,"스토리, 스릴러","교내 소문난 또라이 '세인'에게 단 하나뿐인 절친 '하나'.세인은 둘의 관계가 영원하길 바랐지만, 왜 인지 하나는 점차 멀어져 간다.그 무렵 나타난 전학생 '진사배'.천재 아티스트인 사배는 전학 첫날부터 하나를 멋지게 그려내, 하나의 관심을 독차지한다.질투를 느낀 세인은 사배의 스케치북을 찢으려다 충격적인 그림을 발견하게 되는데..",15세 이용가
134,찐:종합게임동아리,소장,소장,"스토리, 드라마",트라우마로 인해 일부러 게임을 피하며 살아온 '김 진'.진이는 신입생 환영회에서 만난 '정진아'의 제안으로 우연히 동아리에 들어가게 되는데...알고 보니 동아리의 정체는 전력을 다해 게임을 즐기는 종합게임동아리였다!게임에 항상 진심인 승부욕 강한 여섯 청춘들의 즐거운 동아리 활동!!,12세 이용가
135,전지적 독자 시점,싱숑,슬리피C,"스토리, 판타지","'이건 내가 아는 그 전개다'한순간에 세계가 멸망하고, 새로운 세상이 펼쳐졌다.오직 나만이 완주했던 소설 세계에서 평범했던 독자의 새로운 삶이 시작된다.",15세 이용가
136,헬퍼 2 : 킬베로스,삭,삭,"스토리, 액션",역시는 역시 역시군.킬베로스 트라이브의 대장 장광남이 펼치는 스트릿 액션 만화.,18세 이용가
137,조조코믹스컷툰,이동건,이동건,"옴니버스, 로맨스","<유미의 세포들> 이동건 작가의 로맨스 시트콤 신작!오늘 할 일을 내일로 미루는 평범한 직장인 은조,그녀와는 다르게 외모와 매너 모든 것을 철저히 관리하는 직장동료 조완.케미 좋은 두 사람의 다양하고 유쾌한 단편들이 여러분들을 기다리고 있습니다.매주 수토! <조조코믹스>에서 단편만화 같은 일상을 즐겨보세요!",전체연령가
138,"2021 최애캐 안녕, 잘 지내니?컷툰",웹툰작가,웹툰작가,"에피소드, 드라마","""잘 지내..? 오늘따라 네가 더 생각난다.""함께 웃고 울었던 웹툰 속 나의 최애캐들.그들은 지금 어떻게 지내고 있을까?우리의 일주일을 책임졌던 최애캐들의 근황을 공개합니다!<2021 최애캐 안녕, 잘 지내니?>",전체연령가
139,캐슬,정연,정연,"스토리, 드라마","복수를 위해 칼을 갈아온 특급 킬러 '김신',뒷세계 '절대권력'과의 목숨 건 한판 승부!",15세 이용가
140,화산귀환,비가,LICO,"스토리, 시대극",대 화산파 13대 제자.천하삼대검수 매화검존 청명. 천하를 혼란에 빠뜨린 고금제일마 천마의 목을 치고 십만대산의 정상에서 영면.백 년의 시간을 뛰어넘어 아이의 몸으로 다시 살아나다.......뭐? 화산이 망해? 이게 뭔 개소리야!?,15세 이용가
141,튜토리얼 탑의 고인물,방구석김씨,루비,"스토리, 액션",저주로 인해 튜토리얼 탑에 갇힌 헌터. 레벨업을 하며 넘사벽 능력을 갖게 된 그가 12년 만에 탑 밖의 세상에 나간다!,12세 이용가
142,급식아빠,김재한,김재한,"스토리, 액션",<부활남> 김재한 작가의 신작! 딸바보 웹툰작가의 갑작스러운 죽음.학원액션 만화를 그리던 능력(?)을 살려 일진 서클 12간지로부터 딸 다연이를 지켜라!딸이 괴롭힘당하는 모습을 보게 된다면? ...이건 못 참지. 내 딸 건드는 새끼들 다 조져버림.,15세 이용가
143,남주의 첫날밤을 가져버렸다,황도톨,MSG,"스토리, 로맨스",소설 속 엑스트라인 백작 영애 리플리로 빙의 된 여주인공.이왕 이렇게 된 거 전생에 경험하지 못한 귀족의 화려하고 풍족한 삶을 만끽하기로 한다.파티장 구석에서 혼자 술을 즐긴 것까진 기억나는데… 다음날 깨어보니 남주의 침대에 누워있는 것 아닌가!,15세 이용가
144,탈영일지,아포리아,아포리아,"스토리, 드라마",1984년 군생활을 이어가던 ‘최금혁’은 선임들의 모진 갈굼과믿었던 여자친구의 배신으로 매일 지옥 같은 하루를 보낸다.괴로운 생활에 지친 금혁이는 근무 중 선임의 조롱을 견디지 못하고 결국 선임을 쏘고 달아나게 되는데...은신과 도주가 반복되는 생활 속에서 금혁이는 무사히 추격자들을 따돌릴 수 있을까?​괴로운 군생활에서 도망쳐 나온 탈영병 최금혁과 그를 쫓는 조충호 대위의 추격 스릴러!,15세 이용가
145,일렉시드,손제호,제나,"스토리, 액션",<노블레스> 손제호 작가와 <소녀더와일즈> 제나 작가가 만났다!고양이 몸에 깃든 각성자 카이든과 각성능력을 숨겨온 고등학생 지우 러블리 2인조의 액션 판타지,12세 이용가
146,노곤하개컷툰,홍끼,홍끼,"에피소드, 일상",귀여운 멍멍이들과 함께하는노곤하지 않은 일상 이야기,전체연령가
147,여주실격!,기맹기,기맹기,"스토리, 드라마",'약'한 여배우 천리사더이상 배우같은건 하고 싶지 않다던그녀의 복귀 스토리!,15세 이용가
148,세상은 돈과 권력,한동우,이도희,"에피소드, 드라마","재벌 3세가 일반 고등학교에 들어오면서, 선생들과 학생들은 거대 자본에 굴복해 권력을 차지하기 위한 '두뇌싸움'이 난무하는 학교로 바뀐다. 이 학교의 법칙을 부수기 위해 천재 '단건우'가 전학온다.",15세 이용가
149,66666년 만에 환생한 흑마법사,타루,파사,"스토리, 판타지","강대했던 흑마법사 디아블로 볼피르.12신의 계략에 당해 억겁 속에 봉인되었지만,그로부터 66666년이 흘러 다시금 이 땅에 강림한다!""응애!""웰턴 백작의 갓 태어난 장남으로.딥다크 매직 판타지 시작!",12세 이용가
150,연놈,상하,상하,"스토리, 드라마","중2 여름, 가지 말라는 말도 좋아했다는 말도 하지 못한 채 보낸 그녀가 3년 만에 나타났다.지나버린 시간과 마주한 소년 그리고 소녀의 이야기",12세 이용가
151,나쁜사람,둠스,둠스,"에피소드, 개그",착한 남자가 좋다는 그녀의 이상형이 되기 위해 10년 동안 노력했다. 그런데! 갑자기 나쁜 남자가 좋다는 그녀...오늘부터 난... 나쁜 남자로 다시 태어난다.,12세 이용가
152,닥터앤닥터 육아일기,닥터베르,닥터베르,"에피소드, 일상","산부인과 의사 엄마의 임신과 출산, 공학박사 아빠의 논문 기반 육아.완벽할 것만 같은 이들의 앞길은 과연 순탄할까?탄탄대로를 달리던 두 사람의 좌충우돌, 우여곡절 중구난방 육아 이야기!웃다 울고, 울다가 웃게 되는 최고의 항문용 발모제툰!",전체연령가
153,고삼무쌍,B급달궁,하마,"스토리, 액션",천년간 사라진 무림이 현대 고등학교를 배경으로  되살아난다!무림인들의 고교습격! 장르파괴 무협학원액션,15세 이용가
154,빌드업,911,911,"스토리, 스포츠",축구덕후지만 볼보이만 5년째?! 빵셔틀 강마루의 열혈청춘 축구드라마,12세 이용가
155,마른 가지에 바람처럼,달새울,화음,"스토리, 로맨스","남편을 잃고, 아이를 빼앗기고, 이제 생매장을 눈 앞에 둔 과부 리에타. 그 곳에 ‘미친 폐황자’로 불리는 저주받은 땅, 악시아스 성의 대공. 킬리언이 나타났다.그녀를 데려가겠다고 말하는 킬리언이 인사를 건넨다. “안녕, 요부”",12세 이용가
156,밤낚시,LICO,디귿,"스토리, 스릴러","한강, 형이 사라졌다.몰락한 다이빙 선수, 무직은 ​형의 실종을 파헤치다 밤낚시꾼들을 마주하게 되는데…​물고기가 아닌 사람을 낚는 밤낚시꾼들을 목격한 무직.과연 무직은 살아남을 수 있을까?밤에 낚는 시체, 밤낚시.",15세 이용가
157,엔딩 후 서브남을 주웠다,황도톨,정서,"스토리, 로맨스","빙의한 소설 속 나의 최애캐는 서브남이었다.여주에게 버림받아 흑화한 츤데레는 어마무시한 까칠남이 되어 있었다는 것! 나, 무사히 서브남을 주울 수 있을까?",전체연령가
158,원수를 사랑하라,정윤,태건,"스토리, 로맨스","고생 끝, 인생 리셋!.... 도 못했는데 과거를 들키다?!늦깎이 대학생 배연희의 고군분투 캠퍼스 로맨스!",전체연령가
159,변방의 외노자,후로스트,북국너구리,"스토리, 판타지","일하기가 싫다. 너무나도 싫다. 그러나 별 수는 없다.인간과 엘프, 오크와 트롤, 드래곤 등 외계인 이민자들이 한데 모여 살아가는 지구에는 날마다 사건이 끊이질 않는다.일 안 하면 죽는 남자의 위장취업 800년 차 고군분투기.",15세 이용가
160,판타지 여동생!,유누,유누,"스토리, 판타지",게임 초보 여동생의 RPG 도전기.트롤 취급은 노노! 제가 사실 엄청난 히든 직업을 갖고 있거든요?,전체연령가
161,사상최강,황규영,이단아,"스토리, 판타지",‘천하 십대 고수’라고 불리는 자들. 인간의 한계를 뛰어넘은 그들은 서로를 견제하며 힘의 균형과 세상의 질서를 유지해왔다.바로 ‘백도현’ 그가 나타나기 전까지는! 내공만으로 사상최강의 힘을 가진 남자 백도현의 시원한 한 방!,전체연령가
162,하렘의 남자들,알파타르트,영빈,"스토리, 로맨스","""내 후궁들부터 들이기로 하였다. 한 다섯 정도.""타리움 제국의 황녀, 라틸. 그녀의 첫사랑 하이신스는 황제가 되기 위해 본국 권력자의 딸과 결혼한다.충격 받는 라틸. 하지만 그 충격이 가시기도 전에 황태녀가 되고,이복남매의 반란 세력에 맞서 황위를 지켜낸다.그렇게 여황제가 된 라틸에게 대신들은 국서를 맞을 것을 제안하는데, 뭔가, 심기에 거슬린다.'왜 여황제는 후궁을 못 들인다는 거지?'""저도 최소 다섯 명은 후궁으로 두어야겠습니다. 제가 좋다면 하렘으로 들여보내세요,보고 마음에 드는 사람을 국서로 삼을 것입니다."" 전무후무한 여황제의 하렘으로, 치명적인 매력의 남자들이 모여든다!",12세 이용가
163,블랙홀과 3만원,김규삼,혜원,"스토리, 개그","지구멸망 한달 전, 블랙홀에 빨려들어가 얄짤없이 망하게 생긴 인류. 노스트라 생명에서 인류를 구원할 보험을 출시했다!블랙홀로 인한 모든 피해를 단돈 3만원에 ㅇㅋ?!노스트라의 마지막 히트상품과 함께 나타난 이놈들, 과연 구세주인가 바보들인가.",전체연령가
164,귀곡의 문,삼촌,삼촌,"스토리, 드라마","귀신소굴로 유명한 삼도천동의 흉가,평범한(?) 세입자들의 일상 개그",12세 이용가
165,괴물공작의 딸,한바다,찬란,"스토리, 판타지","세상과 단절되어 살아가던 나는 '괴물공작' 이라 불리는 아빠에게 거둬졌다.어느 날, 아빠의 서재에서 이상한 책을 발견하는데…이거 내용이 왜 이래? 내가 병 때문에 죽는다고? 그러면서 양녀를 들이고 잘해줘?어차피 죽을 거라면 그전에는 뭘 해도 안 죽는다는 거잖아! 그렇다면, 정말 로티 맘대로 해버릴 거야!",전체연령가
166,언덕 위의 제임스,쿠당탕,쿠당탕,"에피소드, 개그",제임스들이 펼치는 코믹 막장 에피소드!지금 전세계의 제임스들이 몰려온다,전체연령가
167,관종교장,좌승훈,좌승훈,"스토리, 개그",전 재산을 가족 몰래 주식으로 날린 교장 정도만. 이제 은퇴까지 1년 밖에 남지 않았다. 가족에게 들키기 전에 잃은 돈을 메꾸려는 도만은 제자 홍삼과 함께 인터넷 방송을 시작하지만 예상과 달리 여러 사건에 휘말리게 되는데... 과연 노잼선생은 인기 BJ가 되어 빚을 청산할 수 있을까?!,12세 이용가
168,미래의 골동품 가게,구아진,구아진,"스토리, 스릴러",저주를 풀기 위한 단 한 가지의 방법. 소중한 것들을 지키기 위한 기묘한 소녀의 퇴마가 시작된다.,15세 이용가
169,방탈출,십박,십박,"스토리, 스릴러",갑자기 떨어진 이곳에서 목숨을 건 방탈출이 시작된다.모든 상황을 의심해라! 아니면 죽음뿐이다...,15세 이용가
170,마녀와 용의 신혼일기,바리달,디망,"스토리, 로맨스",한 번의 실수로 인생을 꿰인 천재 마녀의 달콤살벌 신혼생활!신입과의 하룻밤으로 모든 지위와 명성에 먹칠 당하게 된 천재 마법사 웬디. 그런데 뭐..? 비밀을 지켜줄 테니 결혼해달라고...?!,15세 이용가
171,아도나이,주동근,주동근,"스토리, 스릴러","외계인을 믿는 사이비종교 심층 취재기이 종교, 알면 알수록 위험하다",15세 이용가
172,여우담:스윗싱가포르,나,나,"스토리, 로맨스","""여우담 커플의 설레는 첫 해외 여행기 to 싱가포르!본 콘텐츠는 나 작가가 전하는 싱가포르관광청의 브랜드 웹툰입니다.""",전체연령가
173,새벽 두 시의 신데렐라,산차,산차,"스토리, 로맨스","3년이나 사귄 연인인 서주원이 재벌가의 막내아들이란 것을 알게 된 지 두 달. 하윤서는 주원과 헤어지는 대가로 돈을 받는다. 그리고 실제로 헤어지기 위해 정 떨어지는 행동들을 하지만, 주원은 아랑곳하지 않고 윤서의 마음을 돌리려 노력하는데….",12세 이용가
174,로어 올림푸스,레이첼 스마이스,레이첼 스마이스,"스토리, 로맨스","어디서도 본 적 없는 신화 이야기, 풋내기 여신 페르세포네와 지하세계의 왕 하데스의 현대판 로맨스 판타지!글로벌 No.1 인기작 'Lore Olympus'를 한국어 버전으로 감상하세요.",15세 이용가
175,오징어도 사랑이 되나요?,젤리피쉬,문댄스,"스토리, 로맨스","오징어와의 정략 결혼은 싫어! 인간 왕자님을 만날거야!귀엽고 사랑스러운 울릉도의 오징어 공주는 이웃 나라 징징왕자와의 정략 결혼식을 거부하고 진정한 사랑을 찾아  스스로 미끼를 물어 오징어잡이 배를 탄다. 인간 왕자와의 로맨스를 꿈꾸는 오징어 공주의 앞날은 과연...?""오징어도 사랑이 되나요?""",전체연령가
176,얼굴천재,지에이,지에이,"스토리, 드라마","어느 날 갑자기 게임 캐릭터로 변신하는 능력이 생겼다! 그 스킬과, 그 모습이 모두 내 것이다.나는 이제 언제든 ""얼굴천재""가 된다!",12세 이용가
177,칼부림,고일권,고일권,"스토리, 시대극",뜻을 품고 한을 품은 팔도의 자제들아 서슬퍼런 칼날 내보이라!이괄의 난을 배경으로 펼쳐지는 함이의 복수와 성장,12세 이용가
178,반귀,세정,세정,"스토리, 로맨스","평범한 하연과 기묘한 후안의 평범하지 않은 캠퍼스 라이프!귀신이 보이진 않아도 그들의 기운을 느낄 수 있는 하연은 어느 날 귀신인지 아닌지 헷갈리는 후안을 만나게 된다.그 이후로, 정체 모를 기괴한 존재들이 자꾸만 하연의 주변을 맴돌게 되는데...<귀각시> 세정 작가의 신작!",12세 이용가
179,"오직, 밝은 미래",박원희,박원희,"스토리, 드라마","'어제'로 돌아갈 수 있다면, 당신은 어떤 선택을 하시겠습니까?취업도, 연애도, 전부 실패한 취준생 현재는 볼 생각이 없던 어느 작은 회사의 면접을 보게 된다.그날 이후로, 현재의 시간은 거꾸로 흘러가기 시작한다.어제 그리고 또 어제. 매일매일 하루 전으로 돌아가는 현재의 시간.그 과정에서 알고 싶지 않은 진실을 마주한 현재는 이 상황에서 벗어나 '밝은 미래'를 맞이할 수 있을까.",12세 이용가
180,범이올시다!,해,해,"에피소드, 일상",호통 치는 영희 할머니와 무뚝뚝 소녀 방실이 앞에 나타난 정체불명의 고양...아니 호랑이?,전체연령가
181,두 번 사는 프로듀서,왕십리글쟁이,여로운,"스토리, 판타지","“어, 미안. 근데 먼저 한 사람이 임자 아니야?방송계가 원래 그런 거잖아.”꿈을 가지고 패기 있게 방송국에 입사했지만,쓰레기 같은 선배를 만나 10년 동안 모든 걸 빼앗기기만 한 준수.뼈저리게 후회하고 이를 갈았지만, 바로잡을 수가 없었다.절망에 잠겨 모든 걸 포기하려던 그때,내 인생에 두 번째 기회가 찾아왔다.기억도, 그간의 노하우도 모두 그대로인 채로 입사날로 회귀한 준수.두 번째 삶에서는 과거의 절망을 반복하지 않고, 꿈을 이룰 수 있을까?",12세 이용가
182,속보입니다,밀카,Z6,"스토리, 로맨스","평범한 대학생 '예슬'은 대한민국에서 모르면 간첩이라는최연소 메인뉴스 아나운서 '김민준'을 만나기 위해 방송국 카페에서 아르바이트를 시작한다.그러나 민준은 기대했던 것과는 다르게 너무 차갑기만 하고…제가 얼마나 오랜 기간 좋아했는데, 왜 이렇게 차갑게 구시는 거예요?",15세 이용가
183,수요웹툰의 나강림,이경민,송준혁,"스토리, 판타지","평소 웹툰을 즐겨보는 고등학생 나강림. 어느날 그의 눈앞에 웹툰 속에서 봤던 여주인공이 나타나는 기이한 일이 펼쳐진다.심지어 웹툰에서와 똑같은 사건이 그녀를 위기로 몰아넣는데,문제는 그 사건으로부터 그녀를 구해줄 주인공이 현실에는 없다는 것!결국 나강림은 주인공 역할을 대신하여 그녀들을 구하기 위해 시간을 반복하며 구른다.",15세 이용가
184,사랑과 평강의 온달!,한기주,일,"스토리, 로맨스","교육직 공무원인 박사랑, 그녀에게는 평생을 바쳐서라도 꼭 해야 하는 일이 있다. 바로 사촌 동생인 평강이(전생 평강공주)의 진짜 인연 '온달'을 찾아주는 것! 그런데 온달을 찾고, 연을 맺어주느라 바쁜 사랑 앞에 미남들이 꼬이는데?!",12세 이용가
185,화가 살리에르,백원달,백원달,"스토리, 드라마","금선희는 자신에게 없는 예쁜 얼굴과 미술 재능, 오랫동안 짝사랑하던 남자 우수까지 모두 가진 류명화를 시기한다. 시간은 흘러 금선희는 유명 갤러리 관장, 류명화는 가난한 무명화가가 되고, 금선희는 명화를 떠난 우수와 닮은 남자를 이용해 류명화를 조종하려 하는데... 화가들의 삶에 얽히고설킨 매캐한 러브스토리.",15세 이용가
186,반짝반짝 작은 눈,억수씨,억수씨,"스토리, 판타지",신참 주민센터 공무원의 Vlog 같은 일상에 마법사가 나타나 전입신고를 요청하는 상황이 끼얹어진다면? 평범한 듯 평범하지 않은 주민센터 공무원 윤의는 우연히 마법세계에서 피신 온 마법사와 마주치고 그가 지켜야하는 왕자의 알(용체)을 습득하게 되는데...변덕쟁이 공무원과 고지식한 마법사가 펼치는 어불성설 로맨스!,전체연령가
187,신선비,이서현,이서현,"스토리, 로맨스",꽃미남 뱀신랑과 얽혀버린 운명. 로맨스릴러 시즌2 시작!,전체연령가
188,수상한 비밀상담부,149,149,"에피소드, 스릴러","태희는 같은 반 해원이 자꾸만 자기를 쳐다보는 게 신경 쓰인다.쳐다보는 이유를 알기 위해 방과후 해원을 쫓아가는데…골목길에서 해원이 웬 남자애랑 지금 뭐 하는 거지?!충격과 혼란이 가득한 태희에게 해원이 건넨 말, ""야, 네 뒤에 귀신 붙었다.""귀신 찾는 놈, 김찬!귀신 잡는 놈, 최민우!귀신 같은 놈, 김해원!귀신 꼬이는 놈, 한태희!개성 강한 네 사람의 우당탕탕 오컬트 청춘 성장 드라마!!",12세 이용가
189,뱀은 꽃을 먹는가,소나음,소나음,"스토리, 로맨스","폭군 황제가 다스리는 황궁.​천재 악사 하랑은 황제가 끔찍이도 아끼는 꽃, 애화의 전속 악사로 부름 받는다.그러나 황제는 하랑이 애화의 얼굴을 보는 것조차 용납할 수 없었다.""이제는 아무 것도 담아서는 안 되는 저 눈을… 뽑아라!""하랑은 저열한 욕망으로 자신의 눈을 멀게 만든, 황제와 애화에게 복수를 결심하는데…….",12세 이용가
190,무용과 남학생,이호진,이호진,"스토리, 드라마","어릴 적부터 소꿉친구 유연과 함께 발레를 배우던 시우는 어떤 사건으로 인해 발레를 그만두게 된다.그러던 어느날  학교에  발레 하는 남학생 이준이 전학을 오고, 이준과 유연이 예술고등학교 무용과 입시를 준비하는 모습을 보면서 시우는 이준에게 묘한 경계심을 느끼게 되는데…발레와 함께 피어나는 세사람의 알쏭달쏭 첫사랑 로맨스!",전체연령가
191,스캔들,달콤J,도그,"스토리, 로맨스","당대 최고 인기 여배우의 스캔들의 주인공이 내 남편이라면?남편의 불륜으로 신혼이 파탄난 지우는 기자생활을 접고 미국으로 떠나게 되고, 전 남편이 거절할 수 없는 제안을 건네온다.",12세 이용가
192,웰컴 온보드,다니,다니,"스토리, 로맨스","간절하게 꿈꿔온 승무원 합격! 아란은 비행기에서 기절한 자신을 돌봐줬던 승무원 채현에게 반해 에어윙크에 입사한다.입사하면 채현 선배와 비행을 해볼 수 있을까? 환상을 가지고 들어왔지만 이 직업은 그렇게 아름답지만은 않다.신입 승무원 아란, 입사동기 선우, 선배 채현이 함께하는 비행과 사랑 이야기!",전체연령가
193,기억흔적,브라보 장,브라보 장,"스토리, 스릴러",사랑하는 가족을 잃은 남자.가족을 살리기 위한 처절한 시간 여행이 시작된다.,15세 이용가
194,구주,준치,조9,"스토리, 드라마","구원을 바라는 뱀파이어와, 그녀를 둘러싼 두 여자의 어긋난 관계. 뱀파이어인 원은 대학에서 선배 주이를 만난 후 새로운 감정을 배우고, 평범한 삶을 꿈꾼다. 원에게 집착하는 소꿉친구 세연은 둘을 갈라놓으려 하지만, 세연이 거슬렸던 주이는 일부러 원에게 접근한다. 세 사람의 관계는 파국으로 치닫는데….",15세 이용가
195,해귀,알파A,알파A,"스토리, 판타지",어느 날 갑자기 한마을을 덮친 해귀들. 해귀에게 엄마를 잃고 살 길을 찾아 마을 밖으로 도망친 주인공 한천은 엄마가 사실 해귀에게 죽은 것이 아니고 먹이로 납치당했다는 사실을 알게 된다. 한천은 끌려간 엄마를 구하기 위해 위험한 길을 떠나게 되는데...,12세 이용가
196,저승사자 출입금지,심웅섭,심웅섭,"스토리, 드라마",죽음 너머를 믿지 않는 간호사 주나비그리고 그녀가 살린 저승사자 신의그들의 트라우마 극복기.,12세 이용가
197,천도,진작,진작,"스토리, 판타지","저승 문을 막고 있던 융이 살해 당하고, 다시 저승 문을 막기 위해 융을 되살리려는 유장.망자들을 이용해 저승의 경계를 무너뜨리려는 사흉과 대립한다.",전체연령가
198,내 룸메이트는 마네킹,서이,서이,"스토리, 로맨스","인간이 되고 싶은 마네킹 '도윤', 우연한 기회에 인형 공포증에 시달리는 '지호'와 만나 룸메이트가 된다. 도윤은 인간이 되고 지호는 트라우마를 극복해야만 한다. 두 남녀의 기묘한 동거는 성.공.적?!",전체연령가
199,나의 계절,박수민,박수민,"스토리, 로맨스",승재는 친구의 부탁에 못 이겨 같은 반 봄이와 장난삼아 사귀게 된다.시간이 갈수록 예상치 못 한 봄이의 매력에 승재는 끌림을 느끼면서도마지막 순간에 떠 밀리듯 최악의 선택을 하고 마는데...승재는 이 때만 해도 알지 못했다. 봄을 시작으로 잊지 못할 계절들을 보내게 될 줄은.,15세 이용가
200,시효완성,삼바,담,"스토리, 드라마","과거 우발적으로 살인을 저질렀던 국회의원 원동혁.2015년 현재 '공소시효 폐지 법안'을 다루던 그는 한 통의 메시지를 받는다.""나는 네가 15년 전 한 일을 알고 있다.""",전체연령가
201,독립일기컷툰,자까,자까,"에피소드, 일상",처음으로 나만의 집이 생긴다면? 자까 작가의 나혼자 사는 이야기,전체연령가
202,더 복서,정지훈,정지훈,"스토리, 액션","재능있는 복서를 찾던 전설적인 트레이너 K는 기묘한 소년을 발견한다.그의 충격적인 재능은 과연 축복일까, 저주일까?!",15세 이용가
203,연애혁명,232,232,"스토리, 드라마","평범하면서 금사빠인 고등학생 순정남 공주영은 까칠하고 차가운 여학생 왕자림을 보고 사랑에 빠져버린다.너무 다른 둘, 괜찮을까?",15세 이용가
204,기기괴괴,오성대,오성대,"옴니버스, 스릴러",<절벽귀> 오성대 작가의 신작 옴니버스 미스테리 스릴러.기묘하고 괴상한 이야기들.,15세 이용가
205,나노마신,한중월야,금강불괴,"스토리, 판타지","갖은 멸시와 목숨의 위협을 받던 마교의 사생아 천여운, 미래에서 나타난 후손이 천여운의 몸에 나노 머신을 주입한 후 그의 인생이 송두리째 바뀐다.마교를 넘어 무림 최고의 자리에 오르기 위한 천여운의 거침없는 이야기가 시작된다!",15세 이용가
206,이두나!,민송아,민송아,"스토리, 로맨스","(구)아이돌, 첫사랑, 소개팅녀까지 한 집에 모였다! <나노리스트> 민송아 작가의 두근두근 누나 리스트!",12세 이용가
207,묵시의 인플루언서컷툰,조석,조석,"스토리, 스릴러","어느 날 동네에 생긴 정체 모를 알 하나.알은 빠른 속도로 퍼지더니, 급기야 알에서 나온 괴생명체는 사람들을 죽이기 시작한다. 그리고 이 모든 상황이 실시간으로 중계되는 SNS 계정이 생겼다.",15세 이용가
208,포식동물,신희빈,치훈,"스토리, 스릴러",스물다섯 취준생 상진의 옆방에는 괴물이 된 친구가 살고 있다. 괴물의 먹이를 구하기 위해매일 밤 탐욕과 혐오로 가득한 인간들을 찾아 나선다. 상진과 괴물은 과연 인류의 구원자인가? 포식자인가?,18세 이용가
209,노답소녀,석우,석우,"스토리, 로맨스",<하나의 하루> 석우 작가의 신작! 재벌가 손녀인 가빈은 친구 한 명 없는 왕따에 성격까지 노답이다. 5억원을 대가로 가빈을 비밀리에 경호하기 위해 전학 온 태웅. 과연 태웅은 정체를 숨긴 채 가빈을 잘 경호할 수 있을까?,전체연령가
