,title,img_src,url,platform
40,삼국지톡,https://shared-comic.pstatic.net/thumb/webtoon/711422/thumbnail/thumbnail_IMAG10_4873773c-d8f0-430e-85d2-995f395b571f.jpg,https://comic.naver.com/webtoon/list?titleId=711422,naver
41,미드나잇 체이서,https://shared-comic.pstatic.net/thumb/webtoon/724482/thumbnail/thumbnail_IMAG10_e1258997-aba5-4d93-b766-a7e4d99f9bc1.jpg,https://comic.naver.com/webtoon/list?titleId=724482,naver
42,착하게 살자 시즌1~2,https://shared-comic.pstatic.net/thumb/webtoon/776295/thumbnail/thumbnail_IMAG10_95e4dbdb-3d67-49dc-863a-979837ab1a82.jpg,https://comic.naver.com/webtoon/list?titleId=776295,naver
43,무의식의 숲,https://shared-comic.pstatic.net/thumb/webtoon/776296/thumbnail/thumbnail_IMAG10_c12b1cf6-127f-4d65-a65c-8ebcb20d172b.jpg,https://comic.naver.com/webtoon/list?titleId=776296,naver
44,너와 나의 눈높이,https://shared-comic.pstatic.net/thumb/webtoon/776298/thumbnail/thumbnail_IMAG10_aa5b1321-4df1-4a2f-b1a7-101301f02c5d.jpg,https://comic.naver.com/webtoon/list?titleId=776298,naver
45,아홉수 우리들,https://shared-comic.pstatic.net/thumb/webtoon/724815/thumbnail/thumbnail_IMAG10_66484126-6730-4eae-acc4-5ca2d91a0851.jpg,https://comic.naver.com/webtoon/list?titleId=724815,naver
46,동트는 로맨스,https://shared-comic.pstatic.net/thumb/webtoon/746285/thumbnail/thumbnail_IMAG10_8075df0b-353a-430b-af7e-7ff9ed5ef05e.jpg,https://comic.naver.com/webtoon/list?titleId=746285,naver
47,바른연애 길잡이,https://shared-comic.pstatic.net/thumb/webtoon/703852/thumbnail/thumbnail_IMAG10_7a7e52e5-f211-485d-a5ba-4f6f3f8acdc6.jpg,https://comic.naver.com/webtoon/list?titleId=703852,naver
48,탐의 굴,https://shared-comic.pstatic.net/thumb/webtoon/774035/thumbnail/thumbnail_IMAG10_a7911802-ed73-4975-bc30-bf7d16c52a6b.jpg,https://comic.naver.com/webtoon/list?titleId=774035,naver
49,다이스(DICE),https://shared-comic.pstatic.net/thumb/webtoon/557676/thumbnail/thumbnail_IMAG10_e44c2148-c07b-4ccb-b53a-1fee1c6e2122.jpg,https://comic.naver.com/webtoon/list?titleId=557676,naver
50,행성인간,https://shared-comic.pstatic.net/thumb/webtoon/733047/thumbnail/thumbnail_IMAG10_eea47446-e3b9-4cce-b291-222f0699e77a.jpg,https://comic.naver.com/webtoon/list?titleId=733047,naver
51,난약,https://shared-comic.pstatic.net/thumb/webtoon/729044/thumbnail/thumbnail_IMAG10_fb77f3f4-e75a-4146-884a-578869107d27.jpg,https://comic.naver.com/webtoon/list?titleId=729044,naver
52,히트포인트,https://shared-comic.pstatic.net/thumb/webtoon/758677/thumbnail/thumbnail_IMAG10_d4b4e33a-0e3b-4769-85fb-3822f10e1db5.jpg,https://comic.naver.com/webtoon/list?titleId=758677,naver
53,복학왕,https://shared-comic.pstatic.net/thumb/webtoon/626907/thumbnail/title_thumbnail_20150407141027_t83x90.jpg,https://comic.naver.com/webtoon/list?titleId=626907,naver
54,빛빛빛,https://shared-comic.pstatic.net/thumb/webtoon/748045/thumbnail/thumbnail_IMAG10_d793ac3d-51e3-4346-9f7d-60d16f3f6627.jpg,https://comic.naver.com/webtoon/list?titleId=748045,naver
55,마물전담부대,https://shared-comic.pstatic.net/thumb/webtoon/773644/thumbnail/thumbnail_IMAG10_a523fb9b-dd05-4d71-9c44-36d21a04fc34.jpg,https://comic.naver.com/webtoon/list?titleId=773644,naver
56,침범,https://shared-comic.pstatic.net/thumb/webtoon/747273/thumbnail/thumbnail_IMAG10_ea1ab128-8c3f-489d-aecd-c8ce02eac15b.jpg,https://comic.naver.com/webtoon/list?titleId=747273,naver
57,브랜든,https://shared-comic.pstatic.net/thumb/webtoon/768433/thumbnail/thumbnail_IMAG10_5b1147a6-e70e-4229-b44d-9a20aeaa1829.jpg,https://comic.naver.com/webtoon/list?titleId=768433,naver
58,라일락 200%,https://shared-comic.pstatic.net/thumb/webtoon/736641/thumbnail/thumbnail_IMAG10_61ce8d7b-3788-4e28-a3b3-aad7c4067f1c.jpg,https://comic.naver.com/webtoon/list?titleId=736641,naver
